Romaji;Hiragana;Katakana
a;あ;ア
e;え;エ
i;い;イ
o;お;オ
u;う;ウ
ka;か;カ
ke;け;ケ
ki;き;キ
ko;こ;コ
ku;く;ク
ga;が;ガ
ge;げ;ゲ
gi;ぎ;ギ
go;ご;ゴ
gu;ぐ;グ
ra;ら;ラ
re;れ;レ
ri;り;リ
ro;ろ;ロ
ru;る;ル
sa;さ;サ
se;せ;セ
shi;し;シ
so;そ;ソ
su;す;ス
ta;た;タ
te;て;テ
chi;ち;チ
to;と;ト
tsu;つ;ツ
ha;は;ハ
he;へ;ヘ
hi;ひ;ヒ
ho;ほ;ホ
fu;ふ;フ
ba;ば;バ
be;べ;ベ
bi;び;ビ
bo;ぼ;ボ
bu;ぶ;ブ
pa;ぱ;パ
pe;ぺ;ペ
pi;ぴ;ピ
po;ぽ;ポ
pu;ぷ;プ
na;な;ナ
ne;ね;ネ
ni;に;ニ
no;の;ノ
nu;ぬ;ヌ
ma;ま;マ
me;め;メ
mi;み;ミ
mo;も;モ
mu;む;ム
ya;や;ヤ
yo;よ;ヨ
yu;ゆ;ユ
n;ん;ン
kya;きゃ;キャ
kyo;きょ;キョ
kyu;きゅ;キュ
gya;ぎゃ;ギャ
gyo;ぎょ;ギョ
gyu;ぎゅ;ギュ
rya;りゃ;リャ
ryo;りょ;リョ
ryu;りゅ;リュ
sha;しゃ;シャ
sho;しょ;ショ
shu;しゅ;シュ
ja;じゃ;ジャ
jo;じょ;ジョ
ju;じゅ;ジュ
cha;ちゃ;チャ
cho;ちょ;チョ
chu;ちゅ;チュ
hya;ひゃ;ヒャ
hyo;ひょ;ヒョ
hyu;ひゅ;ヒュ
bya;びゃ;ビャ
byo;びょ;ビョ
byu;びゅ;ビュ
pya;ぴゃ;ピャ
pyo;ぴょ;ピョ
pyu;ぴゅ;ピュ
nya;にゃ;ニャ
nyo;にょ;ニョ
nyu;にゅ;ニュ
mya;みゃ;ミャ
myo;みょ;ミョ
myu;みゅ;ミュ
ts;っ;ッ
_;ー;ー
hanjo;判誉;判誉
vr;VR;VR
voice;声;声
male;男;男
female;女;女
dp;：;：
lives;生;生
correct;正;正
2016;二千十六;二千十六
hiscore;高点;高点
game;ゲーム;ゲーム
over;オーバー;オーバー
exit;出;出
zero;零;零
ichi;一;一
nii;二;二
san;三;三
yon;四;四
goo;五;五
roku;六;六
nana;七;七
hachi;八;八
kyuu;九;九
juu;十;十
hyaku;百;百
sen;千;千
man;万;万
